Source;Target
51;0
51;1
51;8
51;16
51;25
51;26
51;27
51;30
51;37
51;42
51;43
51;44
52;1
52;2
53;2
54;37
54;39
55;28
55;30
56;28
56;38
56;39
56;44
56;50
57;43
57;45
58;4
59;35
59;38
59;40
59;44
59;45
59;48
59;50
60;2
60;3
60;8
60;15
60;17
60;18
60;20
60;21
60;23
60;34
60;40
61;7
61;9
61;10
61;14
61;15
61;18
62;5
62;7
62;8
62;9
62;11
62;12
62;13
63;4
63;8
63;9
63;10
63;11
63;12
63;7
64;13
64;14
64;15
64;16
64;18
64;19
64;26
65;7
65;8
65;9
65;12
65;13
65;14
65;16
65;18
65;19
66;42
66;48
67;4
67;5
67;7
67;9
68;46
69;3
69;4
69;5
69;7
69;8
69;9
69;12
69;14
69;22
69;23
69;24
69;25
69;26
69;34
70;7
70;8
70;11
70;19
71;8
72;46
73;18
73;19
73;22
73;25
73;29
73;31
73;32
73;33
73;35
73;37
73;39
73;43
73;44
73;45
73;46
73;47
73;49
74;2
75;8
76;11
77;38
78;5
78;7
79;7
80;4
80;5
80;7
80;31
80;42
81;3
83;6
84;11
85;42
86;42
86;46
87;5
88;8
88;26
89;49
90;48
91;7
92;49
93;7
94;38
94;44
94;50
95;6
96;44
97;12
98;12
99;4
100;5
101;49
102;39
103;9
104;43
105;7
106;10
107;42
108;9
109;12
110;12
111;2
112;2
113;2
114;3
115;4
116;4
117;4
118;5
119;5
119;18
119;42
120;7
121;7
121;10
121;25
122;7
123;7
124;7
124;16
124;17
124;19
124;21
124;25
124;26
124;32
124;14
124;33
125;8
126;8
127;7
128;7
129;7
130;7
131;7
132;7
133;8
134;8
135;8
135;9
136;8
137;8
138;8
139;9
140;9
141;9
142;9
142;11
143;9
144;9
145;9
146;9
147;10
148;8
149;12
150;12
151;13
152;14
153;16
153;17
153;22
154;16
155;17
156;17
157;18
158;18
159;18
160;18
161;18
162;19
163;19
164;21
165;22
166;22
166;23
167;23
168;23
169;23
170;23
170;26
171;23
172;23
173;24
174;25
175;25
176;26
176;27
176;28
176;30
176;38
176;48
177;26
177;28
177;36
178;26
179;26
180;26
181;26
182;26
183;28
183;36
183;30
184;30
184;33
184;35
185;30
186;31
187;32
188;32
189;32
190;33
191;33
192;33
192;37
192;34
193;33
194;33
195;33
196;37
197;44
197;49
197;40
197;37
198;38
199;38
200;34
201;35
202;42
203;42
204;42
205;46
206;49
207;4
208;5
209;5
210;8
