Annee;Nombre de poetes; Presence femmes; Hegoalde
Urrugne - 1851;1;Faux;Faux
Urrugne - 1852;2;Faux;Faux
Urrugne - 1853;7;Faux;Faux
Urrugne - 1854;4;Faux;Faux
Urrugne - 1855;10;Faux;Faux
Urrugne - 1856;12;Faux;Faux
Urrugne - 1857;2;Faux;Faux
Urrugne - 1858;24;Vrai;Faux
Urrugne - 1859;20;Vrai;Faux
Urrugne - 1860;17;Faux;Faux
Urrugne - 1862;10;Faux;Faux
Urrugne - 1863;6;Faux;Faux
Sare - 1864;10;Faux;Faux
Sare - 1865;4;Faux;Faux
Sare - 1866;6;Faux;Faux
Sare - 1867;3;Faux;Faux
Sare - 1868;6;Faux;Faux
Sare - 1869;5;Faux;Faux
Sare - 1870;0;Faux;Faux
Sare - 1871;11;Faux;Faux
Sare - 1872;7;Faux;Faux
Sare - 1873;1;Faux;Faux
Sare - 1874;3;Faux;Faux
Sare - 1875;5;Faux;Faux
Sare - 1876;9;Vrai;Faux
Saint-Palais - 1877;2;Faux;Faux
Sare - 1878;7;Faux;Faux
Elizondo - 1879;13;Faux;Vrai
Mauléon - 1880;2;Faux;Faux
Irun - 1881;5;Faux;Vrai
Sare - 1882;1;Faux;Faux
Markina  - 1883;6;Faux;Vrai
Sare - 1884;3;Faux;Faux
Sare - 1885;5;Faux;Faux
Urnieta - 1886;9;Faux;Vrai
Ascain - 1887;4;Faux;Faux
Cambo-les-bains - 1888;4;Faux;Faux
Doneztebe - 1889;2;Faux;Vrai
Mauleon - 1890;6;Faux;Faux
Iurreta - 1891;7;Faux;Vrai
Saint-Jean-de-Luz - 1892;4;Faux;Faux
Azpeitia - 1893;3;Faux;Vrai
Saint-Jean-Pied-de-Port - 1894;10;Faux;Faux
Saint-Jean-de-Luz - 1894;4;Faux;Faux
Hasparren - 1894;7;Faux;Faux
Espelette - 1895;3;Faux;Faux
Bera - 1895;5;Faux;Vrai
Cambo-les-bains - 1896;1;Faux;Faux
Mauléon - 1896;4;Faux;Faux
Saint-Jean-de-Luz - 1897;6;Faux;Faux
Billaro - 1897;3;Faux;Vrai
